antecedent,consequent,support,confidence,lift
al=2 - 2,class=ckd,0.135,1.0,1.5625
pcc=1,class=ckd,0.135,1.0,1.5625
al=2 - 2 AND pot=< 7.31,class=ckd,0.135,1.0,1.5625
ane=0 AND bp limit=2,class=ckd,0.135,1.0,1.5625
cad=0 AND pe=1,class=ckd,0.135,1.0,1.5625
pcc=1 AND pot=< 7.31,class=ckd,0.135,1.0,1.5625
pe=1 AND su=< 0,class=ckd,0.135,1.0,1.5625
ane=0 AND appet=1,class=ckd,0.13,1.0,1.5625
ane=0 AND pc=1,class=ckd,0.13,1.0,1.5625
ane=0 AND sg=1.015 - 1.017,class=ckd,0.13,1.0,1.5625
ane=1 AND cad=0,class=ckd,0.13,1.0,1.5625
ane=1 AND su=< 0,class=ckd,0.13,1.0,1.5625
appet=1 AND bp (Diastolic)=1,class=ckd,0.13,1.0,1.5625
appet=1 AND htn=1,class=ckd,0.13,1.0,1.5625
ba=0 AND hemo=10 - 11.3,class=ckd,0.13,1.0,1.5625
htn=1 AND sg=1.019 - 1.021,class=ckd,0.13,1.0,1.5625
pc=1 AND pe=0,class=ckd,0.13,1.0,1.5625
rbc=1,class=ckd,0.125,1.0,1.5625
age=59 - 66 AND dm=1,class=ckd,0.125,1.0,1.5625
ane=0 AND hemo=10 - 11.3,class=ckd,0.125,1.0,1.5625
appet=1 AND sc=< 3.65,class=ckd,0.125,1.0,1.5625
bp limit=0 AND sg=1.009 - 1.011,class=ckd,0.125,1.0,1.5625
dm=1 AND pc=1,class=ckd,0.125,1.0,1.5625
pcc=0 AND sg=1.015 - 1.017,class=ckd,0.125,1.0,1.5625
pe=1 AND rbc=0,class=ckd,0.125,1.0,1.5625
pot=< 7.31 AND rbc=1,class=ckd,0.125,1.0,1.5625
sg=1.015 - 1.017 AND su=< 0,class=ckd,0.125,1.0,1.5625
al=< 0 AND dm=1,class=ckd,0.12,1.0,1.5625
appet=1 AND dm=1,class=ckd,0.12,1.0,1.5625
bp (Diastolic)=0 AND sg=1.009 - 1.011,class=ckd,0.12,1.0,1.5625
bp (Diastolic)=1 AND sg=1.015 - 1.017,class=ckd,0.12,1.0,1.5625
bp limit=2 AND dm=1,class=ckd,0.12,1.0,1.5625
bp limit=2 AND pc=0,class=ckd,0.12,1.0,1.5625
bp limit=2 AND rbcc=4.46 - 5.05,class=ckd,0.12,1.0,1.5625
bu=48.1 - 86.2 AND dm=1,class=ckd,0.12,1.0,1.5625
hemo=10 - 11.3 AND rbc=0,class=ckd,0.12,1.0,1.5625
htn=1 AND pe=1,class=ckd,0.12,1.0,1.5625
htn=1 AND sg=1.015 - 1.017,class=ckd,0.12,1.0,1.5625
pc=1 AND pcc=0,class=ckd,0.12,1.0,1.5625
pe=0 AND sg=1.015 - 1.017,class=ckd,0.12,1.0,1.5625
rbcc=4.46 - 5.05 AND sg=1.009 - 1.011,class=ckd,0.12,1.0,1.5625
al=3 - 3,class=ckd,0.115,1.0,1.5625
hemo=8.7 - 10,class=ckd,0.115,1.0,1.5625
pcv=33.5 - 37.4,class=ckd,0.115,1.0,1.5625
al=2 - 2 AND ba=0,class=ckd,0.115,1.0,1.5625
al=< 0 AND htn=1,class=ckd,0.115,1.0,1.5625
ane=1 AND htn=1,class=ckd,0.115,1.0,1.5625
ane=1 AND rbc=0,class=ckd,0.115,1.0,1.5625
appet=0 AND pc=1,class=ckd,0.115,1.0,1.5625
appet=0 AND sg=1.015 - 1.017,class=ckd,0.115,1.0,1.5625
bgr=112 - 154 AND htn=1,class=ckd,0.115,1.0,1.5625
bu=< 48.1 AND dm=1,class=ckd,0.115,1.0,1.5625
dm=1 AND sg=1.009 - 1.011,class=ckd,0.115,1.0,1.5625
dm=1 AND sg=1.019 - 1.021,class=ckd,0.115,1.0,1.5625
hemo=8.7 - 10 AND pot=< 7.31,class=ckd,0.115,1.0,1.5625
htn=1 AND sg=1.009 - 1.011,class=ckd,0.115,1.0,1.5625
pc=1 AND sc=< 3.65,class=ckd,0.115,1.0,1.5625
