antecedent,consequent,support,confidence,lift
al=< 0 AND hemo=11.3 - 12.6,class=ckd,0.1,0.8333333333333334,1.3020833333333333
bu=48.1 - 86.2,class=ckd,0.22,0.830188679245283,1.2971698113207546
bu=48.1 - 86.2 AND pot=< 7.31,class=ckd,0.22,0.830188679245283,1.2971698113207546
pcv=37.4 - 41.3 AND wbcc=7360 - 9740,class=ckd,0.18,0.8181818181818181,1.2784090909090908
age=59 - 66 AND bp (Diastolic)=1,class=ckd,0.09,0.8181818181818181,1.2784090909090908
ba=0 AND bu=48.1 - 86.2,class=ckd,0.195,0.8125000000000001,1.2695312500000002
ane=0 AND bu=48.1 - 86.2,class=ckd,0.19,0.8085106382978724,1.2632978723404256
bu=48.1 - 86.2 AND sc=< 3.65,class=ckd,0.185,0.8043478260869564,1.2567934782608694
bp (Diastolic)=1 AND wbcc=7360 - 9740,class=ckd,0.205,0.8039215686274509,1.256127450980392
bu=48.1 - 86.2 AND cad=0,class=ckd,0.18,0.7999999999999999,1.2499999999999998
bu=48.1 - 86.2 AND pe=0,class=ckd,0.18,0.7999999999999999,1.2499999999999998
bu=48.1 - 86.2 AND rbc=0,class=ckd,0.175,0.7954545454545454,1.2428977272727273
age=66 - 74,class=ckd,0.135,0.7941176470588235,1.2408088235294117
age=59 - 66,class=ckd,0.19,0.7916666666666667,1.2369791666666667
age=59 - 66 AND rbcc=4.46 - 5.05,class=ckd,0.095,0.7916666666666667,1.2369791666666667
bu=48.1 - 86.2 AND su=< 0,class=ckd,0.17,0.7906976744186047,1.23546511627907
age=66 - 74 AND pot=< 7.31,class=ckd,0.13,0.7878787878787878,1.231060606060606
age=59 - 66 AND pot=< 7.31,class=ckd,0.185,0.7872340425531915,1.2300531914893618
appet=0 AND bu=48.1 - 86.2,class=ckd,0.165,0.7857142857142858,1.2276785714285716
age=59 - 66 AND ba=0,class=ckd,0.18,0.7826086956521738,1.2228260869565215
bu=48.1 - 86.2 AND pcc=0,class=ckd,0.16,0.7804878048780488,1.2195121951219512
bp (Diastolic)=1 AND sod=133 - 138,class=ckd,0.19,0.7755102040816326,1.211734693877551
age=66 - 74 AND ane=0,class=ckd,0.12,0.7741935483870968,1.2096774193548387
age=66 - 74 AND rbc=0,class=ckd,0.12,0.7741935483870968,1.2096774193548387
age=59 - 66 AND bp (Diastolic)=0,class=ckd,0.1,0.7692307692307693,1.2019230769230769
age=59 - 66 AND bp limit=0,class=ckd,0.1,0.7692307692307693,1.2019230769230769
pcv=37.4 - 41.3,class=ckd,0.215,0.7678571428571428,1.1997767857142856
age=66 - 74 AND ba=0,class=ckd,0.115,0.7666666666666667,1.1979166666666667
pcv=37.4 - 41.3 AND pot=< 7.31,class=ckd,0.21,0.7636363636363636,1.1931818181818181
sod=133 - 138,class=ckd,0.35,0.7608695652173912,1.1888586956521738
bp (Diastolic)=1 AND rbcc=4.46 - 5.05,class=ckd,0.205,0.7592592592592592,1.1863425925925926
age=59 - 66 AND ane=0,class=ckd,0.155,0.7560975609756098,1.1814024390243902
pot=< 7.31 AND sod=133 - 138,class=ckd,0.34,0.7555555555555555,1.1805555555555556
ba=0 AND pcv=37.4 - 41.3,class=ckd,0.2,0.7547169811320755,1.179245283018868
ba=0 AND sod=133 - 138,class=ckd,0.335,0.752808988764045,1.1762640449438202
bu=48.1 - 86.2 AND pc=0,class=ckd,0.135,0.7500000000000001,1.1718750000000002
rbcc=4.46 - 5.05,class=ckd,0.36,0.75,1.171875
ane=0 AND pcv=37.4 - 41.3,class=ckd,0.195,0.75,1.171875
cad=0 AND pcv=37.4 - 41.3,class=ckd,0.195,0.75,1.171875
pcv=37.4 - 41.3 AND rbc=0,class=ckd,0.195,0.75,1.171875
bgr=112 - 154 AND bu=48.1 - 86.2,class=ckd,0.09,0.75,1.171875
age=59 - 66 AND pcc=0,class=ckd,0.15,0.7499999999999999,1.1718749999999998
age=59 - 66 AND rbc=0,class=ckd,0.15,0.7499999999999999,1.1718749999999998
pot=< 7.31 AND rbcc=4.46 - 5.05,class=ckd,0.355,0.7473684210526316,1.1677631578947367
pcc=0 AND pcv=37.4 - 41.3,class=ckd,0.19,0.7450980392156863,1.1642156862745099
bp (Diastolic)=0 AND sod=133 - 138,class=ckd,0.16,0.7441860465116279,1.1627906976744187
bp limit=0 AND rbcc=4.46 - 5.05,class=ckd,0.16,0.7441860465116279,1.1627906976744187
age=59 - 66 AND appet=0,class=ckd,0.145,0.7435897435897435,1.1618589743589742
age=59 - 66 AND sc=< 3.65,class=ckd,0.145,0.7435897435897435,1.1618589743589742
bp limit=0 AND bu=48.1 - 86.2,class=ckd,0.1,0.7407407407407407,1.1574074074074072
bp limit=0 AND sod=133 - 138,class=ckd,0.17,0.7391304347826088,1.1548913043478262
rbc=0 AND sod=133 - 138,class=ckd,0.31,0.7380952380952381,1.1532738095238095
bgr=112 - 154 AND sod=133 - 138,class=ckd,0.155,0.7380952380952381,1.1532738095238095
bp (Diastolic)=0 AND rbcc=4.46 - 5.05,class=ckd,0.155,0.7380952380952381,1.1532738095238095
age=59 - 66 AND cad=0,class=ckd,0.14,0.736842105263158,1.1513157894736843
age=59 - 66 AND pe=0,class=ckd,0.14,0.736842105263158,1.1513157894736843
ba=0 AND rbcc=4.46 - 5.05,class=ckd,0.335,0.7362637362637363,1.150412087912088
age=66 - 74 AND cad=0,class=ckd,0.095,0.7307692307692307,1.141826923076923
age=66 - 74 AND pcc=0,class=ckd,0.095,0.7307692307692307,1.141826923076923
age=66 - 74 AND pe=0,class=ckd,0.095,0.7307692307692307,1.141826923076923
age=66 - 74 AND su=< 0,class=ckd,0.095,0.7307692307692307,1.141826923076923
bp (Diastolic)=0 AND bu=48.1 - 86.2,class=ckd,0.095,0.7307692307692307,1.141826923076923
pcv=37.4 - 41.3 AND pe=0,class=ckd,0.175,0.7291666666666666,1.1393229166666665
cad=0 AND rbcc=4.46 - 5.05,class=ckd,0.32,0.7272727272727273,1.1363636363636365
age=51 - 59 AND bp (Diastolic)=1,class=ckd,0.08,0.7272727272727273,1.1363636363636365
cad=0 AND sod=133 - 138,class=ckd,0.29,0.7249999999999999,1.1328124999999998
age=59 - 66 AND pc=0,class=ckd,0.13,0.7222222222222223,1.1284722222222223
age=66 - 74 AND appet=0,class=ckd,0.09,0.72,1.125
age=66 - 74 AND pc=0,class=ckd,0.09,0.72,1.125
sod=133 - 138 AND su=< 0,class=ckd,0.28,0.717948717948718,1.1217948717948718
pcc=0 AND rbcc=4.46 - 5.05,class=ckd,0.305,0.7176470588235294,1.1213235294117647
pcv=37.4 - 41.3 AND sc=< 3.65,class=ckd,0.165,0.717391304347826,1.1209239130434783
rbc=0 AND rbcc=4.46 - 5.05,class=ckd,0.3,0.7142857142857143,1.1160714285714286
pcc=0 AND sod=133 - 138,class=ckd,0.275,0.7142857142857143,1.1160714285714286
age=59 - 66 AND su=< 0,class=ckd,0.125,0.7142857142857143,1.1160714285714286
pc=0 AND pcv=37.4 - 41.3,class=ckd,0.16,0.7111111111111111,1.1111111111111112
ane=0 AND sod=133 - 138,class=ckd,0.27,0.7105263157894737,1.1101973684210527
pe=0 AND sod=133 - 138,class=ckd,0.27,0.7105263157894737,1.1101973684210527
age=66 - 74 AND sc=< 3.65,class=ckd,0.085,0.7083333333333334,1.1067708333333333
ane=0 AND rbcc=4.46 - 5.05,class=ckd,0.29,0.7073170731707317,1.105182926829268
sc=< 3.65 AND sod=133 - 138,class=ckd,0.265,0.7066666666666667,1.1041666666666667
pe=0 AND rbcc=4.46 - 5.05,class=ckd,0.285,0.7037037037037036,1.0995370370370368
rbcc=4.46 - 5.05 AND su=< 0,class=ckd,0.28,0.7000000000000001,1.09375
